date,close,open,high,low,volume,symbol
20221012,1377.8441,1323.2197,1378.8387,1299.1806,1138213.0,000689.SH
20221011,1328.7667,1331.9029,1344.1791,1322.8367,818625.0,000689.SH
20221010,1326.6523,1391.5145,1397.0188,1321.5632,918751.0,000689.SH
20220930,1395.7072,1439.4229,1442.8971,1391.2928,769712.0,000689.SH
20220929,1443.0327,1441.316,1460.5291,1427.5066,788613.0,000689.SH
20220928,1429.4372,1482.0525,1487.4624,1428.1677,884161.0,000689.SH
20220927,1483.7926,1461.7979,1483.7926,1459.6678,890519.0,000689.SH
20220926,1455.9765,1439.3349,1484.5428,1430.4486,888904.0,000689.SH
20220923,1447.1185,1482.5997,1491.7335,1436.1122,1083607.0,000689.SH
20220922,1484.0428,1466.7723,1502.6919,1455.492,862005.0,000689.SH
20220921,1475.23,1479.5191,1486.0392,1458.29,856552.0,000689.SH
20220920,1486.8517,1483.3548,1508.7119,1470.3485,847009.0,000689.SH
20220919,1474.6496,1493.3048,1515.2087,1470.5047,943542.0,000689.SH
20220916,1495.5373,1506.2399,1524.3801,1494.4648,969710.0,000689.SH
20220915,1504.9637,1563.1865,1563.1865,1488.2057,1268133.0,000689.SH
20220914,1558.8283,1551.1995,1564.7417,1544.7671,998337.0,000689.SH
20220913,1574.3738,1576.3425,1588.5498,1562.7987,883903.0,000689.SH
20220909,1567.7976,1567.8998,1573.9562,1548.9341,785026.0,000689.SH
20220908,1566.2213,1585.1239,1591.122,1564.0417,1009628.0,000689.SH
20220907,1584.6626,1543.2569,1602.9071,1542.4115,1265431.0,000689.SH
20220906,1551.6446,1525.8479,1552.3409,1508.2871,1129537.0,000689.SH
20220905,1523.1807,1511.8323,1534.5051,1498.6695,1164376.0,000689.SH
20220902,1514.1408,1508.3004,1530.3491,1495.6962,869214.0,000689.SH
20220901,1506.1068,1518.1019,1528.6873,1502.1764,1065166.0,000689.SH
20220831,1519.3364,1561.3192,1572.6606,1512.9184,1327332.0,000689.SH
20220830,1563.6631,1584.4347,1585.2125,1558.3469,1139281.0,000689.SH
20220829,1581.2112,1559.1819,1597.7668,1553.5723,1220123.0,000689.SH
20220826,1582.1736,1604.2068,1622.9313,1579.548,1234765.0,000689.SH
20220825,1599.3361,1628.5379,1635.7828,1583.6749,1246508.0,000689.SH
20220824,1623.9966,1707.3,1711.3912,1623.7837,1492494.0,000689.SH
20220823,1704.9037,1696.3128,1713.9931,1692.7391,1294153.0,000689.SH
20220822,1695.8332,1668.3351,1698.6144,1668.3351,1575072.0,000689.SH
20220819,1671.4758,1724.3096,1729.9046,1668.9996,1777803.0,000689.SH
20220818,1723.0506,1707.3444,1726.6997,1702.6521,1609301.0,000689.SH
20220817,1708.6217,1737.5697,1742.8243,1702.0891,1610805.0,000689.SH
20220816,1736.5034,1744.036,1763.0693,1725.1999,1524154.0,000689.SH
20220815,1742.1247,1726.8767,1752.3732,1726.8767,1320901.0,000689.SH
20211231,1993.7399,1961.8361,1996.2257,1961.8361,710511.59,000689.SH
20211230,1951.0918,1920.6919,1953.0487,1920.6919,722856.52,000689.SH
20211229,1914.3927,1921.0472,1923.0343,1910.2022,565440.67,000689.SH
20211228,1918.2155,1894.3816,1920.3258,1894.3816,511318.7,000689.SH
20211227,1893.8496,1884.0415,1902.1981,1882.3091,577186.52,000689.SH
20211224,1886.4453,1946.2396,1946.2396,1882.0064,770740.44,000689.SH
20211223,1948.0601,1960.9574,1960.9574,1944.5682,569614.24,000689.SH
20211222,1952.4432,1943.8133,1964.7204,1938.3119,623500.89,000689.SH
20211221,1939.007,1936.0953,1953.4445,1921.3907,607504.08,000689.SH
20211220,1933.7996,1964.1851,1983.1819,1932.4538,690104.29,000689.SH
20211217,1975.1633,2022.6236,2022.649,1972.5132,806063.74,000689.SH
20211216,2025.8351,2021.1666,2036.4663,2013.4689,645215.18,000689.SH
20211215,2016.0188,2039.9766,2044.6495,2016.0188,696673.29,000689.SH
20211214,2040.3971,2023.8801,2053.1045,2017.745,664522.13,000689.SH
20211213,2034.6693,2042.7667,2042.7667,2016.133,752150.28,000689.SH
20211210,2033.1631,2001.7582,2046.8313,2001.7582,889070.21,000689.SH
20211209,2006.9992,2034.8485,2034.8485,1986.1809,777142.25,000689.SH
20211208,2019.9566,1983.693,2023.0389,1983.693,665385.39,000689.SH
20211207,1979.2161,2035.8301,2035.8301,1962.3642,801601.37,000689.SH
20211206,2026.0854,2087.1699,2087.1699,2026.0854,880229.31,000689.SH
20211203,2084.0734,2080.993,2087.019,2075.2213,697500.63,000689.SH
20211202,2077.5442,2109.8438,2112.5667,2073.0779,806270.89,000689.SH
20211201,2115.124,2129.6643,2130.8556,2100.9987,868231.96,000689.SH
20211130,2129.8642,2135.8756,2139.5797,2115.8866,1002478.32,000689.SH
20211129,2120.2209,2037.0768,2120.7523,2037.0768,890164.97,000689.SH
20211126,2056.7463,2028.7735,2062.7386,2028.7735,763635.24,000689.SH
20211125,2028.8938,2050.0614,2050.0614,2024.7343,720214.52,000689.SH
20211124,2044.7218,2073.0388,2097.4242,2044.7218,888685.89,000689.SH
20211123,2071.5072,2097.4375,2097.4375,2071.5072,904045.85,000689.SH
20211122,2093.2756,2036.4154,2100.3865,2036.4154,1183481.8,000689.SH
20211119,2020.6932,1966.4206,2024.3534,1966.4206,912696.74,000689.SH
20211118,1964.7977,1959.5504,1982.8822,1941.0077,784695.1,000689.SH
20211117,1960.051,1924.4292,1962.2217,1924.2759,706142.9,000689.SH
20211116,1924.7508,1949.9495,1955.1696,1921.9113,751189.45,000689.SH
20211115,1961.8104,2020.6194,2020.6194,1959.1648,952939.65,000689.SH
20211112,2015.5778,1986.7202,2021.0271,1986.7202,889680.46,000689.SH
20211111,1985.4862,1960.127,1997.4822,1960.127,1037707.8,000689.SH
20211110,1960.8549,1962.6821,1980.0578,1936.1741,783819.84,000689.SH
20211109,1972.6307,1951.5844,1977.1276,1949.2155,839844.4,000689.SH
20211108,1938.8744,1911.6468,1942.0774,1911.6468,819714.1,000689.SH
20211105,1899.4275,1942.9615,1942.9615,1899.4275,806596.14,000689.SH
20211104,1938.8001,1904.9366,1952.3524,1904.9366,795009.52,000689.SH
20211103,1901.569,1907.9109,1921.7868,1883.1694,632141.83,000689.SH
20211102,1907.9539,1933.1894,1934.1281,1895.6053,1020632.05,000689.SH
20211101,1921.5967,1923.9282,1956.5982,1910.407,788263.14,000689.SH
